Name,Institutions,Mechanism,Culture/Values/Norms,Meta-Mechanisms,Notes,Time span,Geography,Size,Source,Metanotes,Heterogeneity ,FC comments,LIZA's comments,FABIO's comments,Jonas' comments
Igbo People,"Omu, Onye oga, Obi, Assembly, Ikporo Ani, Onotu, Ilogo, Awo, Otu umuada, Otu inyemedi, Anasi","Matriarchy,Deliberation,Assembly (central),Council (central),Word of mouth,Dual-sex political system,Fines,Police,Consensus,Leader (first among equals)","Gender equality, Obedience to authority",,"Peggy Sanday (1981)
	The obi is the head of men
	The omu is the head of women. She and her cabinet ‘represent the women in any important town gatherings and deliberations. If decisions arrived at are such that the womenfolk are to be told about them, [she gets] a woman (onye oga) to sound the gong (ekwe) to assemble the women. On less important occasions, [her] cabinet members pass the word around among the women by word of mouth.’
	The cabinet uses curses to punish those who brought sickness to the town.

Kamene Okonjo (1976)
o	‘The 7,500,000 Igbo who live east of the Niger River traditionally had what Afigbo calls a “democratic village republic” system of political organization, with authority widely dispersed in autonomous units.’ (47)
o	‘The remaining 500,000 Igbo on the western side of the Niger and in the riverine towns of Onitsha and Ossomali, heavily influenced by the kingdom of Benin to the north, developed what Afigbo calls a “constitutional village monarchy” system.’ (47)
o	‘In both types of systems the units were small, and political authority was widely dispersed along the following lines: between the sexes; among lineages and kinship institutions; by age grades; among secret and title societies; and among oracles, diviners, and other professional groups. There was no clear separation between judicial, executive, and legislative functions, and no distinction between the political and the religious in the governmental process. Both systems were what we characterized earlier as dual-sex systems: each sex generally managed its own affairs and had its own kinship institutions, age grades, and secret and title societies.’ (47)
o	The Omu did not derive her status from any linkage to the king (e.g. through power heritage or marriage). She wasn't a queen in the Western sense
o	‘In addition to the omu, her councillors, and the ikporo ani, who represented the entire women’s constituency, there were other women’s political institutions in the traditional Igbo system that function on a small base. Among these were the umuada and the inyemedi, which operated at the village or lineage level. Since Igbo society was exogamous and patrilocal, a woman had to leave her natal village when she married. To deal with the dislocations of this system and insure a simulated lineage structure for married women, a system of reciprocal ties was built up between a woman’s two villages – the one in which she was born and the one into which she married. Women thus came to have two homes. In their natal village they were umuada, or daughters of the lineage and/or village; in the village of their marriage they were inyemedi (co-wives), i.e., co-wives of the village or lineage. In both they formed themselves into an out (organization), thus giving rise to otu umuada and out inyemedi.’ (51-52)",Pre-Colonial  ,Mid-western Nigeria,1 million - 10 million members,"Peggy Sanday, Female Power and Male Dominance (1981)

Kamene Okonjo, (1976) 'The dual-sex political system in operation : Igbo women and community politics in Midwestern Nigeria' in Women in Africa : studies in social and economic change","HETEROGENEITY
Formal inclusion of both sexes through different institutions and no political cleavages - due to a dual sex system wherein ""each sex generally managed its own affairs and had its own kinship institutions, age grades, and secret and title societies.’ (47)""","Gender groups,Inclusion through different institutions,Formal inclusion,Heterogenous without political cleavages",edited,,,
Ijo of the Eastern Niger Delta,"Amanyanabo, Assembly of House Heads",Assembly (central),Competition,,,Not specified,Niger Delta,"10,001 - 100,000","Kingta Irene Princewill, The City-States of the Eastern Niger Delta, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,
"Imperial and Free Towns of the Holy Roman Empire (Nurnberg, Ulm, Rothenburg, Schwabish, Frankfurt etc)","Stadtrat, Burgermeister, Ratsherren, Patricians, Guilds' representatives","Council (local),Constitution","Shared identity/Kinship, Written rules, Cooperation, Loyalty/Patriotism",,,12th - 14th century,Germany/ Central Europe,"100,001 - 1 million members","Peter Johanek, Imperial and Free Towns of the Holy Roman Empire, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,
Inka Empire (DO NOT PURSUE FURTHER),"Apu, Sapa Inka, Willaq umu, Tokrikoq, Inka central administration","Bureaucracy,King/Absolute Monarch (unbound),Divine right,Magistrate/officials,Board/Committee,Seizing of property,Reputational risk,Capital punishment,Corporal punishment/Violence against perpetrator,Forced labour,Punishment,Blood relations,Heredity","Cooperation, Supernatural, Ritual, Strict hierarchy/caste system",Nested enterprises,"'Inka autocracy ultimately succeeded because a state bureaucracy overcame these obstacles.' (p. 49)

'local institution called the ayllu upon which their empire was built' (p. 49)
- 'Members of an ayllu could be formally related or not—the key point was that blood relations or no, they all acted like a family by cooperating and insuring each other against risk.' (p. 49)

'The empire was divided into four parts administered by an apu, or lord, and each of these comprised provinces of twenty thousand households that were administered by an ethnic Inka governor appointed by the center. Bureaucrats assisted the governor.' (p. 49)

'An omnipotent emperor presided over a vast bureaucracy that was mostly composed of local elites who had been recruited into state service.' (D'Altroy (2014), p. 174)

'Stripped to the bones, the Inca government was a monarchy in which rule passed from father to son.' (p. 177)

'The High Priest of the Sun (willaq umu; “priest who recounts”) was probably the second most powerful individual in the empire.' (p. 187)

'The emperor was theoretically an absolute monarch, but Cuzco’s royal kin groups (panaqa) were still a political force to be reckoned with.' (p. 187)
- 'Formed an advisory court and provided many of the officials who devised and applied state policy. Because the panaqa could influence the selection of royal successors, candidates and kin groups likely negotiated with one another constantly in the quest for power' (pp. 187-8)

'Women, especially the sovereign’s principal wife (qoya), were powerful figures in royal life.' (p. 191)

'In practice, the government consisted of an umbrella of Inca officials who oversaw a hierarchy of hereditary ethnic lords drafted into state service.' (p. 351)

'A governor (tokrikoq) conducted the affairs of each province with help enlisted from local elites and functionaries, such as record-keepers.' (p. 354)

'He had broad responsibilities and authority, most importantly supervising the census and mobilizing labor for whatever tasks his superiors required. He was supposed to administer the colonists, along with the lands of the state and maybe the Sun, but probably not the private estates of the Sapa Inca, the panaqa , or other aristocrats.' (p. 354)

'Cuzco also appointed a centrally controlled set of inspectors (tokoyrikoq, “He Who Sees All”) who checked on affairs in the provinces.' (p. 358)

'Some specific rules were intended to keep tabs on the populace. According to Cobo (1979: 206), a resettled colonist was tortured if he returned home and a two-time offender was executed.' (p. 359)

'The Incas assumed the right to condemn individuals to death, and only the provincial governors and their superiors had that authority.' (p. 359)

Nobles punished much less than commoners

Sexes punished differently

'Relative lack of economic sanctions to the rarity of private property, which was reserved only for the most elite.' (p. 360)",1438–1533 CE,South America,1 million - 10 million members,"Stasavage, David (2020), The Decline and Rise of Democracy

D'Altroy, Terence N., The Incas (2014)",,,DNP,,,
International Brotherhood of Teamsters,"Union officers, General Executive Board, General Secretary-Treasurer, Joint Councils, General President, Vice Presidents, General Secretary-Treasurer","Strike,Protest,Bureaucracy,Lobbying,Board/Committee,President/Consul,Trustees,Constitution,Election,Voting,Majority voting,Suspension/Expulsion/Ostracism,Punishment","Cheating/Corruption, Strict hierarchy/caste system",,"'The IBT and ILA exemplify unions that ask their members to act consistently with a relatively narrow concept of self-interest' (p. 29)

'IBT leadership has understood that its effectiveness depends on the contingent consent of the members. Historically, they have used force as a tool of recruitment, dues-extraction, and suppression of dissidents, but they have also nourished membership support, which then enables leaders to employ credible threats against employers and to survive government attacks for links with racketeering' (p. 69)

Most unions 'tend to be strongly hierarchical and, often, oligarchic.' (p. 70)

Lobbying for better labour legislation with public and private officials

'The Teamsters have a tradition of strong local autonomy... Increasingly, however, the union was centralized, and management was top down.' (p. 73)

Constitution 'largely dictated by the powerful executive committee' (p. 74)

'The occasional local encouraged rank-and-file democracy, but this was not the norm. The general membership has little voice in policymaking at any level. Until 1991, when federal trusteeship introduced the direct member vote over officers, the IBT chose its international leaders through indirect elections by the delegates who attend conventions where nominations are made.' (p. 74)

'Leadership also tightly controlled contract negotiations. Traditionally, bargaining is relatively secret and closed. It was not until 1988 that members could reject a contract and authorize a strike with a simple majority rather than the two-thirds vote rule that had long been in place' (p. 74)

'The Teamsters have stood accused of at least three kinds of corruption. First was the accusation of labor racketeering, resulting in restraint of trade and intimidation of employers. In many instances, this involved legal practices, and the charge was laid by those opposed to the growing power of the IBT (Witwer 2000, 2003). In other cases, it became a second kind of corruption, in which the Teamsters paid off the police and local officials or allied themselves with mobsters. Some Teamster leadership and, in particular Jimmy Hoffa, have a documented past connection with organized crime.' (p. 75)
- 'Finally, there is a third kind of corruption, the larceny that lines the pocket of a union official. There is also documentation of this within the IBT. Dave Beck was the poster boy here. Interestingly, illegal corruption seems to have been largely tolerated by members unless it was at their expense.

Ex-presidents Beck and Hoffa 'were perfectly willing to punish, expel, or worse those who did not toe their line.' (p. 78)

Under Beck, there were mechanisms for rank and file members to replace leadership

'He also used trusteeship to advantage. Beck would allow the
rank and file to choose their leadership and then personally judge its performance based on the union’s growth and delivery. If the
leadership was unsuccessful according to Beck’s standards, he would put the local under trusteeship, giving a position of virtual
dictatorship to a trustee' (p. 79)
- 'This enabled Beck to guarantee competent leadership, keep internal conflict within a local from spreading, make locals finance their leadership, and control the locals through leaders he appointed' (p. 79)
- 'Through a variety of governance processes and rules, Dave Beck further institutionalized the aspects of Teamster culture that made it virtually impossible for rank-and-file members to express, let alone develop, other than purely economistic preferences.' (p. 79)
- Meanwhile, Beck made sure his voice was heard -> suppressive power of the leader

Jimmy Hoffa utilised organised crime for the benefit of the IBT
- 'Under Hoffa, the IBT further centralized authority in the hands of the International at the expense of the rank-and-file delegates.' (p. 86)",Contemporary,Int'l,1 million - 10 million members,"Ahlquist, John and Levi, Margaret (2013), In the interest of others: organizations and social activism",,,this probably doesn't really fit,,,
International Longshore Workers Union,"Union officers, World Federation of Trade Unions, Hiring hall","Strike,Protest,Screening process,Bureaucracy,Constitution,Arbitration","Fairness, Transparency, Cooperation, Solidarity, Egalitarianism",,"'elicit from members not only effort to improve their own well-being but also sacrifices of time and money in support of social and political causes' (p. 29)

Most unions 'tend to be strongly hierarchical and, often, oligarchic.' (p. 70)

'In keeping with Principle I of its guiding principles, the ILWU developed a strong and participatory rank-and-file democracy, which the leadership respected even when the members disagreed with them' (p. 106)

'The constitution guaranteed the autonomy of locals, rank-and-file participation in local and international elections, one person-one vote in all contract and strike negotiations via a secret ballot, and a 15 percent threshold for recall referenda on elected officers. The bargaining committees are elected and inclusive, and the process is transparent to members' (pp. 106-7)

'The ILWU guarantees its membership multiple opportunities for participating electorally in its affairs. Members are periodically asked to vote on referenda over policy issues. Contract approval and strike authorization are conducted through elections. The selection of officers of the locals, their policies, and practices are subject to membership vote. The ILWU stands in sharp contrast to most American unions whose convention delegates select leadership; in the ILWU, members directly elect the union’s international officers through one person, one vote.' (p. 107)

'strong solidaristic ties' (p. 110)

Strong local autonomy

Strong community ties between members.

'Principle IV endorses the right of members to promote labor solidarity even when it violates their contract or the advice of their leaders

Some strikes resolved with arbitration
- 'For the ILWU, arbitration provided a complement rather than a substitute for collective bargaining and the weapon of the strike.' (p. 117)

Minimal racial discrimination and international solidarity",Contemporary,Int'l,"10,001 - 100,000","Ahlquist, John and Levi, Margaret (2013), In the interest of others: organizations and social activism",,,this probably doesn't really fit,,,
International Longshoremen's Association,"Union officers, General President","Strike,Protest,Bureaucracy,Constitution,President/Consul,Election,Voting",Cheating/Corruption,,"'The IBT and ILA exemplify unions that ask their members to act consistently with a relatively narrow concept of self-interest' (p. 29)

Most unions 'tend to be strongly hierarchical and, often, oligarchic.' (p. 70)

'The ILA governance institutions narrow the organization’s scope and reinforce hierarchal power' (p. 88)

'ILA officials received indictments for racketeering, extortion, and embezzlement' (p. 92)

'The ILA today still has more corruption than most unions and less
democracy than many' (p. 94)",Contemporary,Int'l,"10,001 - 100,000","Ahlquist, John and Levi, Margaret (2013), In the interest of others: organizations and social activism",,,this probably doesn't really fit,,,
Iroquois,"Local clan houses, Women's clan council, Men's grand council, Hereditary chiefs, Merit chiefs, War council, Royaneh, Sachem","Matriarchy,Consensus,Council (central),Judicial review",Gender equality,,"o	Rule of the elite before the establishment of the confederation 1142 [contested by some anthropologists]
o	‘The Confederation made it possible for the Iroquois peoples to remain sovereign over their vast territories until the end of the eighteenth century.’ (305)
o	‘For all three of these peoples, the deep-seated cultural changes were not confined to ending the priestly-elite; they also led to a new form of government that fundamentally ended hierarchical, male-dominated, hereditary privileges. This was the basis on which the Iroquois created their brilliant Constitution and celebrated Confederation—which is excellent evidence of a great, matriarchally-based society oriented to the common good.’ (301)
o	‘Clans are female, but include males; nations are male, but include females. All matters must circulate in an ongoing process between these two polar powers.’
o	‘Traditionally, the local and federal were interdependent, equivalent entities, rather than having been hierarchically ordered the way they are in patriarchal dominance societies. The local represented the sacred will of the people, the “grassroots level” of Mother Earth herself, and was run by the clan mothers. In the local clan houses, all decisions were made by consensus among all clan members, and all clan houses were represented in the Women’s Clan Council, an elected body presided over by the Jigonsaseh.’ (305-06)
o	‘The federal side, presided over by the men, was made up not of clans, but of nations, as represented in the League of the Nations in the Men’s Grand Council. Although decisions and messages were communicated and handled here, they did not originate here. The men might only discuss an issue after the women had gone over it, which made the Women’s Clan Council the more powerful one— their deliberations effectively set the men’s agenda. Similarly, if the Men’s Grand Council did not dispose of an issue in the way that the Women’s Clan Council preferred, the women could take up the matter anew, reformulate it, and send it back to the men for reconsideration. This means the women’s council retained what amounted to a judicial review of men’s actions, and could stop them; the men’s council could not do the same to the women’s actions. However, this does not mean the Women’s Clan Council had too much power, because it included the consensus not just of the women in the council, but the consensus of the people—all the clan houses, including the women, men, and children who belonged to them.’ (306)
o	‘The Women’s Clan Council, as sole authority at the local level of government, is the first right of women explicitly granted in the Constitution. The second explicit right is that women are the exclusive guardians of war and peace; that is, they had the right to decide these matters. The concept behind this is that, in order to secure the future of society, women and children must have the absolute right to peace and security. To achieve this, Iroquoian women retained the weapons, relinquishing them only when the Women’s Clan Council had resolved to suspend women’s right to peace, having made this public through their spokespersons, the clan mothers or their male speakers. However, in their traditional way of life this happened only very rarely, for the clan mothers were not interested in sacrificing their children’ (306)
o	‘These two political rights of women may seem to imply that the Iroquois gave too much weight to female power, but in their law, an additional provision emphasized male power. This emphasis emerges in the distinction between “hereditary chiefs,” or clan peace chiefs, whose job was to protect the “Innocents,” resolve conflict, and manage inter-national negotiations, and “merit chiefs,” whose selection was based on their various services to the community. Hereditary chiefs were selected exclusively by women for specific council seats held by the clans, whereas merit chiefs were selected exclusively by men; their selection was based on their merit, although hereditarily seats did not exist. For men, in addition to showing mature judgement, one of the ways to earn merit was by acting as a war chief, a position chosen by men after women had given war a go-ahead.’ (306)
o	‘A feud took place after being decided upon in the war council. In this council, lines of relationship played no role since the merit chief, who sat in the war council, was not elected on the basis of clan structures. Thus, feuds were the formal reason for the resolutions of war council, but often this masked the young men’s thirst for adventure and ambitions for advancement. Feuds were carried out based on private initiative of volunteers, and whether or not a feud actually went forward depended completely on the war chief ’s popularity. He would dig up the hatchet (a red-painted tomahawk decorated with red feathers) and plunge it into the village war post. Then, fully adorned and emitting loud war cries, he would begin the war dance. By then, everyone in the village knew that a feud was planned, and those who voluntarily chose to follow the chief joined in the war dance. However, just as often, no one danced with him, and he went home in disgrace.’ (307-308)
o	‘The Iroquois could not undertake feuds without the explicit consent of women. Additionally, the young men who set off in a war party had to be supplied by the women with long-lasting provisions of cornmeal; otherwise, they could not carry out these forays. The women apportioned the food not only for the feuds, but also for the trade expeditions, so the final decisions about these things were in women’s hands. By withholding their political and economic assent, women in the village or town could stop a feud from taking place. And they did stop it, when the elder lineage chiefs thought it was a bad idea.’ (308)
o	‘The house-based council was not only for handling household matters; it was, at the same time, the vehicle for general policy. The chosen representatives of the Ohwachira participated in clan, town, and federal politics. Every Ohwachira had, in addition, the right to launch political initiatives and could convey the Ohwachira’s wishes and expectations to bodies at the nation level and federal level. In this way, households reflected the wishes and claims of all Iroquois—and even of children, as the voting rules weighted a woman’s vote according to the number of children she had. All political opinion and decision-making was based on household councils. Thus, the social and political order presented itself not as a top-down domination, but as a network based on consensus building from below.’ (310)
o	‘If an Ohwachira possessed a hereditary political office, the opportunities for influencing the greater community expanded considerably. The Sachems were chosen in councils made up of the clan mothers and adult women. The Royaneh had the last word, but, once consensus was achieved, she could not overrule it. Aptitude and experience were deciding factors. In this way, women selected the representatives who made up the political bodies in the town, the nation, and in the League. Therefore, these hereditary chiefs acted primarily in the interests of their own clans, particularly the women. Iroquoian women were present at men’s gatherings and heard everything that went on, and so had great political influence and responsibility.’ (310)
o	‘Sachems, or Peace Chiefs, were responsible for quickly resolving conflicts, whether at the town, national, or federal level, and they took the initiative to settle disputes. Nevertheless, by possessing this title, a man became the delegate of his Ohwachira, so that each Sachem was dependent upon the instructions of the Royaneh. In response to poor performance, or headstrong behavior, or infringement of the ideals or laws of the Confederation, she could unseat him. Custom dictated that an offending Sachem would be warned three times: first by the Royaneh acting alone; then by the clan’s male speaker, the Young Man; and finally by the Royaneh and the Young Man together. If all these did not produce results, the Royaneh would revoke the Sachem’s title and his emblems, giving them to another chosen clan representative. The entire clan would of course be paying attention to the Royaneh’s administrative leadership, and she too could be replaced after three warnings’ (310)
o	‘Also at the national councils, the two clan chiefs—Royaneh and Sachem—were present, but the management of this differed among different nations. The Attiwendaronk were a very special group, their national council seems to have had the maximum number of female members possible: four fifths of their council chiefs were women. The clan mothers were in just about total control among the Attiwendaronk. The Confederacy, however, modified that to a more parallel system of national councils as sphere of men, and clan councils as sphere of women. There were also female chiefs at the level of the Confederation; in fact, there were just as many women as men. This was verified by a white woman ethnologist, who herself was a Seneca female chief in the Iroquois Confederation (Harriet Converse).49 During the wars of conquest, the Gantowisas saw themselves as being obliged to assume, in national and federal councils, the roles of imprisoned and murdered Sachems. In these desperate situations the Seneca and Attiwendaronk Gantowisas even took up arms, fighting as soldiers alongside the men: in 1687 the League’s Jigonsaseh personally assumed military control, and handed the French a heavy defeat in 1689, near Montreal.’ (310-11)
o	‘all these kinship groups and political groups were traditionally responsible to the Councils of Elders; these bodies aggregated the experience and wisdom of age and took vigilant care to ensure that Sachems’ decisions were compatible with traditional social values. They were the guardians of the culture’s unwritten laws. However, the women’s councils spoke first and controlled the agenda of both the Grandmothers’ and Grandfathers’ councils’’ (311)","Post-1142
",North America,"10,001 - 100,000","Heide Goettner-Abendroth, Matriarchal Societies (2012)","HETEROGENEITY
Each clan represented in the Women's clan council, which indicates formal inclusion, but there is no evidence of a political cleavage within it. (formal inclusion of different kinship groups)
Furthermore, gender groups are well balanced. 
""Clans are female, but include males; nations are male, but include females. All matters must circulate in an ongoing process between these two polar powers.’"" [from Notes]
Thus, there is formal inclusion and heterogeneity without a political cleavage","Gender groups,Ethnic/kinship groups,Inclusion through different institutions,Formal inclusion,Heterogenous without political cleavages",edited,,,
Ju/'hoansi bushmen,,"Positive reinforcement,Self-help,Suspension/Expulsion/Ostracism,Reputational risk,Corporal punishment/Violence against perpetrator,Criticism/Mocking/Joking,Punishment","Reciprocity, Cooperation, Fairness, Egalitarianism",Collective-choice arrangements,"''Strong reciprocity occurs when individuals are willing ""to sacrifice resources for rewarding fair and punishing unfair behavior, even if this is costly and provides neither present nor future rewards for the reciprocator"" (Fehr, Fischbacher, and Gachter 2002:3).' (Wiessner (2004), p. 116)'

'Strong reciprocity requires high levels of monitoring within the group and subsequent action to bring individual behavior in line through reward and punishment.' (p. 116)

'Foragers live in cooperative communities where food is shared widely and children are reared by a range of ""alloparents"" from grandparents to siblings (Draper 1976; Hewlett 2001; Hrdy 1999; Konner 1975). Widespread food sharing prevails within the community (camp), reducing variance in subsistence income, supporting those who are not capable of providing their own food at certain points in their lives, and promoting cooperation' (p. 117)

'Egalitarian relations (Boehm I993, 1996, 1999; Cashdan 1980; Clastres 1977; Gardner 1991; Kelly 1995) are maintained among foragers to facilitate reciprocity and cooperation on five accounts (Wiessner 2002a). (a) They standardize certain information by specifying that all adult members of the society are autonomous equals who cannot command, bully, coerce, or indebt others. (b) They reduce the risks of cooperation because people do not fear that assistance given in the present will be used to dominate in the future. (c) They stipulate that it is the obligation of all people to stand up for their interests and permit all individuals to punish norm defectors, if they choose to do so. (d) They allow individuals and families to choose different options when environmental conditions require dispersal. (e) They facilitate mobility between visiting groups because hierarchies do not mesh easily. Egalitarian institutions vary in how encompassing they are, that is, whether they include adults of both sexes and all ages, and whether equality applies to both opportunity and outcome (Flanagan 1989; Robbins 1994). For the Ju/'hoansi, as for many foragers, equality applies to all adults and to equality of opportunity as well as equality of outcome.' (p. 117)

'Among the Ju/'hoansi, punishment typically does not take place through witchcraft, financial reparations, socially sanctioned duels, or violent retribution. Rather, most punishment takes place in conversations, or at least it begins as talk' (p. 121)

'Punishment was divided into four categories: (a) put-downs through pantomime, joking, or mocking, (b) mild criticism and complaint, (c) harsh criticism or complaints, and (d) criticism plus violent acts' (p. 122)

Both men and women initiated criticisms and punished others

Not a strict hierarchy but a division based on the strength of the importance and standing of the person.

Ostracism for women who developed relations with Bantu men

Self-retaliation against perpetrators went from mocking and joking to harsh criticisms and violence",Contemporary,Africa,,"Polly Wiessner (2005), Norm Enforcement among the Ju/'hoansi Bushmen",,,edit with Graeber and Wengrow sources,,,
Khasi,"Mother, Ka Khatduh, Kur, U Kni, Durbar Shnong, Ing Kur, Durbar Iing, Durbar Kur, District council, Syiem","Leader (first among equals),Matriarchy,Blood relations,Positive reinforcement,Matrilineality,Consensus,Council (local),Council (central),Autocratic Leader/Chief (bound),Theocracy","Solidarity, Egalitarianism, Gender equality",,"o	‘Women are considered by these peoples not as weak, but as equally strong or even superior to the men.’ (46)
o	Both women and men participate in market activities
o	‘The mother is not only the progenitor and head of the clan, but in her role as family priest also embodies a unifying principle. Responsibility for all family rituals lies with her, including the enormously important ceremonies for the dead. She is also custodian of all clan property: the communal house and land, and the income from the work of all the clan members. She inherits her position of official successor to the previous clan mother— her own mother. She is custodian of the clan’s property—not with an eye to her own gain, but for the whole clan, for whose well-being she is responsible. She guides distribution of the common wealth, taking care that it is shared out equally, and according to the needs of each, in a give-and-take economy that could well be called a clan internal “gift economy.” Her responsibility is based on natural bonds, not on abstraction, since all of the clan members are her sisters and brothers, her daughters and sons, for whom she cares. In the clan house, among her close relatives she is possessed of a natural authority, rather than a power over them, as encountered in patriarchal domination roles, where people’s needs and wants are not considered. Natural authority means, on her part, giving advice and, on their part, voluntary choice about accepting it or not: a relationship that develops out of family respect. In the clan house she has no staff of enforcement (no police, no army) to make her suggestions into commands.’ (48)
o	‘All the Khasi subgroups follow the matrilineal principle of descent, succession and inheritance. That means, the children carry the name of the mother’s clan and are members of it. Today the father’s clan is also recognized, and is honored; however, the father’s lineage plays no role, as most of the Khasi continue to emphasize matrilinear kinship and solidarity.’ (48)
o	‘The clan’s property remains in the mother’s clan and is passed on from mother to daughter—with minor variation in the different subgroups. With the Khasi it is the youngest daughter, or “Ka Khatduh,” who takes over the entire ancestral property and the material as well as the spiritual responsibility for the “Kur,” or clan: it is the principle of ultima-geniture. She is supported by her eldest maternal uncle, who carries out the actual management and execution of clan property following the consensus of all clan members. The Ka Khatduh is now the new head and priestess of the clan (sub-clan, lineage) and begins her duties with the funeral rites for her revered dead mother, whose devoted support she was until the last.’ (48-49)
o	‘The clan house is the basic political unit, where decisions are made by consensus in the “Durbar Iing,” or family council, which then sends out senior male clan members to represent them in the “Durbar Kur,” or clan council. The clan councils in turn send male representatives out to the “Durbar Shnong,” or local council. The British colonial government later superimposed a district council, which is a formal justice institution; this took away from the local councils the power to settle cases by consensus.’ (51-52)
o	‘Every durbar meeting takes place only with the consensual agreement of the women: without their agreement, no decision can be made.’ (52)
o	‘Neither is the woman a ruler sui generis, rather she only has the right to make decisions in the context of the clan, conforming to its unwritten rules’ (52)
o	‘Matriarchal societies cannot be labeled as democracies—that is a much later political concept—but rather as consensual clan societies. This means that the decision- making process belongs to all the clan members; their discussions are summarized and brought to completion by the clan mother as chief authority, then represented at the village council by the clan mother’s brother. In this way the U Kni’s role is that of a delegate rather than a ruler. The clan would never permit him to exceed the boundaries of this purely executive role by taking steps of his own. In this sense matriarchies are characterized by non-domination of women even while they hold full economic and spiritual authority.’ (52)
o	‘The role of the Khasi head-persons is a good example: the oldest clans may install the “Syiems” (chiefs, or kings) in the various districts that comprise Khasi Land. Using the case of the well-researched district of Khyrim, we can outline the pattern of this “Syiemship.” The Syiem of Khyrim is the son of the “Syiem Sad,” the high priestess of Khyrim. Not he, but rather she, is the actual head of the people; she allows her son or nephew to act as her delegate. She owns the large royal house, in which a sacred column functions as an axis that designates the center of the (Khasi) world. Symbolically speaking, she lives right at the center of the world. Every official sacrifice ceremony begins through her, at the sacred column, and ends there as well. She is the keeper of the symbols: without the crown and all the sacred tools and sacrificial animals no sacrifice can be celebrated. She always performs the first sacrificial act in the house; afterwards, she turns the tools and the animals over to the Syiem, her son, and lets him continue the ceremony outside. This allows her to watch him from her house’ (53)
o	‘The power of women in the matriarchal official structure was not, however, limited to the Syiem Sad. In the history of the Khasi people there have been instances of female Syiems, or queens, who either performed both functions— priestess and executive—or else were daughters of a Syiem Sad’ (54)
o	After the arrival of the British, many self-governing matriarchal institutions were destroyed
",Contemporary (some mechanisms functioned only until the 19th century and the coming of the British colonial forces),North-eastern India,1 million - 10 million members,"Heide Goettner-Abendroth, Matriarchal Societies (2012)","HETEROGENEITY
Gender + Systemic power imbalance
The Mother and Ka Khatduh had greater decision making power and control over the affairs of the clan. Even though male members were represented in the the durbar (council) by being appointed U kni, ""the U Kni’s role is that of a delegate rather than a ruler. The clan would never permit him to exceed the boundaries of this purely executive role by taking steps of his own. (52)."" Even though a man is appointed syiem, ""Not he, but rather she, is the actual head of the people; she allows her son or nephew to act as her delegate.""
Thus there was a systemic power imbalance in favour of women. 

Ethnic kinship groups + Heterogeneity without a political cleavage
Different clans (matrilineal kinship groups) cooperated through durbars and resolved issues through consensus indicating the absence of a political cleavage. 
""The clan house is the basic political unit, where decisions are made by consensus in the “Durbar Iing,” or family council, which then sends out senior male clan members to represent them in the “Durbar Kur,” or clan council. The clan councils in turn send male representatives out to the “Durbar Shnong,” or local council.""
","Gender groups,Ethnic/kinship groups,Inclusion through different institutions,Formal inclusion,Systemic power imbalance,Heterogenous without political cleavages",edited,,,
Latium,"Republican magistracies, Tribunes of the plebs, Curiae","Council (central),Assembly (central),Plurality voting",,,,2nd century BC to 3rd century AD,"South Europe, Italy, Latium","10,001 - 100,000","Cornell, The City-State in Latium, in Hansen, A Comparative Study of Thirty City-State Cultures",,,needs more work,,,
