Name,Communities,CGI,Description,Institutional links,Metanotes
White-Skirted Woman,Akha,,"A female official with ritual responsibilities that may partake in decision-making indirectly from behind the scenes.
-	Through her ritual responsibilities links annual ancestor offerings and yearly rice rituals. (p. 116)
-	Although she has no official say in village decision-making, her position is respected, and she may exert substantial influence behind the scenes, especially if she has a strong personality and has reached venerable age (p. 117)
",Operated from behind the scenes ,
Council of Elders,Akha,"Council (central) ,Vote by proxy,Representation,Consensus","A council with the highest power in the village.
-	Some ethnographic accounts report that village disputes are settled by a “council of elders” (for example, Lewis and Lewis 1984:227).
-	Kammerer prefers to avoid this phrase because it conveys what she considers to be a false impression of formality, rigidity, and corporateness. (Kammerer, p. 118)
-	Every male head of patrilineal family should attend meetings called by the Village Founder-Leader. (Kammerer, p. 118)
-	Full attendance may not be realised, and an old man may well send a son in his stead.
-	Issues are discussed until a consensus is reached, and his consensus is validated by the Village Founder-Leader (Kammerer, p. 118-p. 119) 
-	Elders sit at the esteemed downslope tables at ceremonial meals. (Kammerer, p. 119)
-	Women and men are invited independently to these meals (p. 119)
-	A man may have sat at a men’s downslope tables for years before his wife is asked to sit at a women’s downslope table for the first time. (Kammerer, p. 119).
-	(abo and ap’i).
","Council of Elders discuss issues, and their consensus is validated by the Village Founder-Leader",
Sama,Akha,,"A gifted person shosen by spirits that identifies cures for illnesses in her dreams.
-	Chosen by spirits (p. 118)
-	Being “not clean” does not prevent spirits from selecting an individual as a sama (p. 118)
-	The sama’s insight into curing is obtained in dreams rather than during travels in trance. (p. 118)
-	Curers of both sorts are usually adept at setting broken bones and knowledgeable about medical plants. (p. 118)
",An alternative to Shaman,
Shaman,Akha,,"A gifted person chosen by spirits that identifies the cause of the illness through entering trance to the world of the ancestors.
-       Open to both men and women (Kammerer, p. 117)
-	Enter trance to the world of the ancestors to seek aid in finding lost souls of the sick or in identifying the agents causing illness and the type of rituals needed to appease them. (p. 117)
-	The Shaman’s job thus overlaps with that of the Reciter. (p. 117)
-	Many communities do not have a resident Shaman (p. 118)
-	Shaman is chosen by spirits. (p. 118)
-	Potentially not necessary to be “clean” (p. 118)",An alternative to the Reciter ,
Prefetturii/ Conti/ Dogi,Amalfi,,"Annual magistracy (board), each figure operates in a different period but covering roughly the same tasks. Elected by the popular assembly. Often filled by heredity.

Camera, M. p. 70 (""Amalfi (…) veniva governata da un Pretore, o Epata, come i Greci lo chiamavano ed era immediatamente dipendente e sommessa al Duca, Console, o Maestro de Soldati di Napoli"") | Camera, M. p. 89 (""eligendosi dapprima i Prefetti annuali, poi i Conti e poscia i Dogi, i quali non erano principi assoluti o ereditari, ma bensì elettivi della repubblica, e che governando con pieno potere si sceglievano dal corpo della nobiltà"") | Camera, M. p. 111 (""Poco soddisfatti gli Amalfitani del sistema di governo de loro Prefetti e Conti, e quasi annojati per lo spazio di 42 anni da quella magistratura, si dettero premura d'innalzarla a più orrevole grado con l'eligervi di Dogi"") | Camera, M. p 111, nota 1 (""Doge, così detto per distinzione de duchi feudatari. Gli amalfitani non soggetti a' principi Longobardi, non solo non conobbero i feudi al pari de' Greci a cui ubbidivano; ma anche altre leggi non regnarono presso loro, salvo che quelle dominanti fra greci al pari delle altre città non soggette a' Longobardi"")

Camera, M. p 89 (""Noi però colla scorta di tutte le nostre cronache possiamo francamente affermare che l'elezione de' nostri Dogi dipendeva dall'assoluto consenso del popolo e de' nobili tal quale eseguisvasi in Venezia; e tal volta si succedevano i parenti più prossimi"")",elected by the assembly,
Sedile di congrega,Amalfi,"Council (central) ,Deliberation","Elite council

Camera, M. p. 238 (""Un sedile di congrega altra volta richiamava tutti i patrizi Amalfitani a discutere e pronunziare su propri e particolari, come publici interessi; e le leggi e consuetudini patrie venivano eseguite con rigorosa osservanza"")",Not specified,
Tavole Amalfitane,Amalfi,,"Leggi e regolamenti nautici

Camera, M. p. 208 (""Obbligaronli a pubblicare delle proprie leggi, e regolamenti nautici, che Tavole Amalfitane appellavansi"")",Not specified,
Consudetudini,Amalfi,,"Leggi scritte della repubblica di Amalfi

Camera, M. p. 211 (""Oltre le prenominate Tavole Amalfitane, sappiamo esservi state ancora altre proprie e particolari leggi che Amalfitane Consuetudini chiamavansi. Desse erano in prima ripartite in 26 rubriche"")",Used by magistrates,
Comizi,Amalfi,"Assembly (central),Public meetings,Consent,Ratification/Acclamation only","Popular assembly

M. p 89 (""Noi però colla scorta di tutte le nostre cronache possiamo francamente affermare che l'elezione de' nostri Dogi dipendeva dall'assoluto consenso del popolo e de' nobili tal quale eseguisvasi in Venezia; e tal volta si succedevano i parenti più prossimi"")

Camera, M. p. 238 (""Ne comizi o pubbliche adunanze il popolo non era affatto escluso dal suo parere"")
",Elects the Prefetturii/ Conti/ Dogi,
Rajan,Indian Republics,,"King.

It could be appointed for life by heads of families in monarchical states. or it could be among other rajanah ruling alongside an assembly",it depends on whether the community is type 1-4,
Sabhā,Indian Republics,Council (central) ,"Council of elders or of the important men of the tribe, selected because of their distinction in warfare, eloquence, knowledge or property Sharma p. 35

",it depends on whether the community is type 1-4,
Samiti,Indian Republics,"Assembly (central),Representation","Assembly. probably consisted of the heads of families of the community (p, 42) who in turn represented the entire population ",it depends on whether the community is type 1-4,
King,England (Anglo Saxon),,King of England,Not specified,
witan,England (Anglo Saxon),"Assembly (central),Assembly (elite),Frequent and/or regular meetings","King's council. the membership is debated but it was possibly a large elite gathering (close to an elite assembly than to a small council). met regularly. Decided diplomatic matters, proposed royal charters and discussed taxation",not specified,Check out Levi Roach for further info on institutional links
shire reeve,England (Anglo Saxon),,"sheriff, presiding over a shire, tasked with the administration of justice and raising revenue.",Not specified,
shire court,England (Anglo Saxon),Tribunal/Court ,Court at the level of the shire,Not specified,
gemot,England (Anglo Saxon),"Tribunal/Court ,Frequent and/or regular meetings","Court of 12, operating at the smaller administrative unit of the hundred. may have met regularly",not specified,
wapentake,England (Anglo Saxon),,"Administrative division corresponding to the hundred. Possibly also a court presided by a 'hundredman.""",Not specified,
King,Assur,,"King, chief executive of the community

Assur's king held two titles: Isshiak Assur, or “Divine Assur’s steward” (the emphasis is on “the divinely sanctioned role as head of the community and as chief priest”) and Waklum, or “Leader” (the emphasis on its role as the implementer of judicial decisions taken by the city-assembly)",Chairman of the city assembly,
Alum,Assur,"Assembly (local),Assembly (elite),Tribunal/Court ,Majority voting","City assembly, central political and judicial institution of the community, it was composed by the elders and notables of Assur. It could be divided and set into special committees to look into especially complex cases, including audits and financial transactions. judicial functions.

""The assembly is to be divided into voting blocks in order to reach a majority decision. All of these activities were supervised by the scribe or secretary of the Port, clearly a salaried official."" p 84",Regulated by the rules of the constitution. Made up of the elders,
Limmum,Assur,,"Annual office whose holder gave his name to the year in the same way as the archons or the consuls, i.e. a year-eponymy. He functioned as the head of the main administrative office, City-Hall. ",Presumably chosen by the elders of the city-assembly. Head of City Hall.,
City hall,Assur,,Bureaucracy in charge of taxation and administration,Manages the city. The Limmum is the head of city-hall.,
Scribe,Assur,,"Salaried official supervising assembly 

All of these activities were supervised by the scribe or secretary of the Port, clearly a salaried official."" p 8",Supervises the assembly,
Tlatoani,Aztec City-States,,"King, chosen among the male members of the royal dynasty by a council of high nobles. heredity and (military) meritocracy determine selection. succession is usually father to son or brother to brother",Chosen by the council,
Council of high nobles,Aztec City-States,Council (central) ,"Able to choose the king from male members of the royal dynasty. They organised various aspects of the city-state government. They were judges, tribute collectors, high-ranking military officials and general royal advisors. ",Chooses the king,
Governor,Babylonia,,Governor of the city-state ,Appointed and controlled by the central administration.,
Council of Elders,Babylonia,Council (central) ,Civic institution either coextensive with or part of the city assembly. The specific functions are not clear in the extant evidence. ,Coextensive with or part of the city assembly,
The citizens/The Assembly of the city,Babylonia,Assembly (central),"A civic institution that holds authority on behalf of the
community and bears its name (Barjamovic 2004, p. 56). Interchangeably used with ""the assembly"". Functions may have included choosing governors, waging war, directing foreign policy, exercising legal functions, control funds for public works and cultic functions.",Included the elders,
Rab kohanim,Carthage,,"Chief priest
'besides his important religious role, also exercised great influence over the workings of the State and economic life' (p. 41)",Not specified,
Council of Elders,Carthage,Council (central) ,Similar to the Roman Senate or the Greek gerousia,"Advised the king but could also act on their own behalf
",
Tribunal of 104,Carthage,,Tribunal of judges,Not specified,
Suffetes,Carthage,,"Two annually elected officials

Similar to Roman consuls",Convenes the assembly,
Ham,Carthage,Assembly (central),"Parliamentary assembly.

Convened by the suffetes, the assembly had several functions  including the election of generals (Lancel p. 119)",convened by the suffetes,
Senatus,Aedui (Celtic Oppida),Council (central) ,Controlling body among the Aedui. No information available about membership or size.,Supported by the magistrates,
Elected magistrates,Aedui (Celtic Oppida),,"Magistrates.

Elected but unclear by whom.",May have supported the Senate,
Assemblies,Aedui (Celtic Oppida),"Assembly (central),Ratification/Acclamation only","Annual auction of the right to collect tolls from merchants. Probably controlled by local elites. rather than a d-m institution in its own right, the assembly was probably a way to convey some form of military support.
",Not specified,
Big man,Central African communities,,"Leader of each village, a primus inter pares",Not specified,
Council,Central African communities,"Council (local),Representation,Matrilineality,Heredity,Reputational risk,Payment for occupying office","Made up of representatives of the founding matrilineages of the vicinage - these are people that occupy the highest rank of the ngongo munene.
",composed of the highest rank of the ngongo munene,
ngongo munene,Central African communities,,"A sodality that includes several ranks
-	The lower ranks are open to all men
-	The higher are occupied by heredity, reputation, and the paying of large fees ",highest ranks make up the council,
Council of Five Hundred (Boule),Athens (Classical Period),"Council (central) ,Agenda setting,Representation,Voting,Age boundaries,Deliberation,Temporary position of power/Term Limits,Frequent and/or regular meetings,Lottery/Random Selection,Remunerated position,Turnover/rotation,Scrutiny of officials","'conducted Athens’ day-­ to-­ day public affairs and set the agenda for the legislative citizen assembly,' (Ober, Josiah (2015), p. 164)
","Sets agenda for the citizen assembly (ekklesia)

Does not make independent decisions without the ekklesia",
Areopagus,Athens (Classical Period),Council (central) ,A special court throughout the period of the democracy. made up of ex-archons.,Independent from other institutions,
Ekklesia,Athens (Classical Period),"Assembly (central),Majority voting,Consensus,Age boundaries,Frequent and/or regular meetings,Suspension/Expulsion/Ostracism/Proscription,Vote by show of hands","The people's assembly, in charge of all decision making. in the 5th century, made decisions about ostracism",Its agenda is set by the Council of Five Hundred,
People's courts,Athens (Classical Period),"Tribunal/Court ,Age boundaries,Frequent and/or regular meetings,Litigation,Lottery/Random Selection,Majority voting,Oath,Public meetings,Temporary position of power/Term Limits,Judicial review,Remunerated position,Secret ballot",Popular tribunals administering justice ,Independent from other institutions except for judicial review procedure,
Magistrates,Athens (Classical Period),"Magistrate/official,Board/Committee,Age boundaries,Turnover/rotation,Temporary position of power/Term Limits,Election,Lottery/Random Selection,Screening process,Scrutiny of officials","Magistrates of the city, duties range from financial to military to administrative. Some are selected by lot, some are elected. we have evidence for at least 71 boards (Hansen, ADAD, 239). were probably paid in the 5th century but pay was discontinued in the 4th (ibid. 240-1)",implement decisions of the other bodies,
Rentmeister,Cologne,,Chief financial official,Not specified,
City council,Cologne,"Council (central) ,Co-optation,Temporary position of power/Term Limits",'a small body of fifteen members that was renewed each year and for which the fifteen new members of the incoming council were chosen by the outgoing council' (p. 171),Not specified,
Rentkammern,Cologne,,"Annuity chambers (treasuries)

",Not specified,
Richerzeche,Cologne,,"'a social club that included the city’s great merchants and property owners.' (Stasavage, States of Credit, p. 171, EPUB)",Not specified,
Verbundbrief,Cologne,,Constitution 'which was designed to ensure broader representation in Cologne’s governance' (p. 171),Not specified,
Gaffel,Cologne,,"'22 individual corporations' on which the political system was based on after 1396 when the Richerzeche was abolished. 

the head of each Gaffel was not chosen in an open election by all members—they were instead selected by a special committee of more prominent members'",elects 36 of the 49 seats in the council,
States-General,Dutch Republic,"Assembly (central),Majority voting,Turnover/rotation","an assembly comprising representatives of each of the seven provinces (each has one vote aiming at unanimity in theory but often using majority [cf. Israel p. 276], rotating presidency with one province chairing meetings for one week at a time)",Top federal institution of the republic,
Provincial assembly,Dutch Republic,"Assembly (local),Voting","Provincial assembly, representing the towns (but only some could vote), usually assisted by a standing committee, setting the agenda",Top provincial institution,
Vroedschap,Dutch Republic,"Council (local),Co-optation,Life appointment,Frequent and/or regular meetings","Permanent council in the towns of the west, constituting the core of local government. The council was cooptive and its members had an appointment for life. Major policy decisions were discussed, and it was convened regularly. 
”From the ranks of the councillors the aldermen and mayors were recruited. The seven, nine, or eleven aldermen were the local court of justice. The majors, two or four of whom were always serving simultaneously, were the executive. Together, the aldermen and mayors constituted the magistracy, that acted as the legislative authority, in its own right or in conjunction with the council.”",Top governance institution in towns in the West,
Magistracies,Dutch Republic,,"Composed of aldermen and mayors. 

Selection differs in the east and west:
- west: Magistrates are recruited from the councillors, appointment is temporary and limited to 2/3 years at a stretch. usually magistrates are reelected and in the meantime they go back to the council

- east: magistrates who lost their seat were politically side-tracked. Many magistrates were elected through a procedure that involved the local community.",top governance institution in towns in the East,
Stadholder,Dutch Republic,,"Entitled to appoint aldermen, and even the mayors. In this process, towns were entitled to propose candidates on a so-called double list, that restricted the choice for the stadholder and allowed the towns to manipulate the process. In practice, the stadholder picked one or two local confidants, who would make sure that the right people were on the list.",Appointing aldermen and mayors (everywhere in Netherlands).,
Shogun,Japan (Early Modern),,"Considered 'hegemons' since they could issue ordinances commanding the daimyo (p.434). They had the power to suppress rebels and move the domains of daimyos from one part of the country to another. (p.433). Collected funds from daimyos, but not involved in taxation. ","Appointed by the Emperor. Like the daimyo, the shogun were also given control of provinces, but did not play an active role in their administration and often entrusted this to their favoured daimyos. ",
Daimyo,Japan (Early Modern),,"Baron like domain administrators. They had a high degree of autonomy over their domain's internal affairs, like structuring landownership policies. (p.434) They were responsible for tax collection and assessed taxes on a village as a corporate entity, but not on individual farm households (p.435)","Since they levied taxes on villages as a whole, the village council could organise corporate landholding policies such that the share of the land owned by a citizen was proportional to the level of tax they paid.  ",
Village Council,Japan (Early Modern),"Council (local),Heredity,Patronage (for office)","Domain administrative officials/members of the council for a village were chosen by its residents of the village from a list of candidates initially selected by the daimyo. However, posts like those of the village headman were often inherited through multiple generations of the same family (p.435), though this was not necessarily the case. ","It was the council that led and organised the corporate landholding practises, but this included all the members of the village, The members of the council did not have any privileges in terms of getting better land allocations",
Samurai,Japan (Early Modern),,"Some samurai were in charge of county administration and performed functions like maintaining public peace, collecting taxes. They also coordinated activities that required the cooperation of multiple villages, like riparian works and allocation of irrigation water. (p.435)","They were prevented from having links with the village administration - 'as a rule, samurai were prohibited from residing in villages or owning land.' (p.435)",
Emperor,Japan (Early Modern),,"Considered to have a divine right to rule, but lacked little actual power",Appointed shoguns,
Magistrates of the res publica,Etruscan Dodecapolis,,"Board of two magistrates. 

This institution is at the head of each Etruscan city state after the 4th century. they seem to have held both military and judicial powers (p. 201)",Not specified,
Maru,Etruscan Dodecapolis,,Board of magistrates charged with public affairs (probably similar to the roman aediles). the office seems to have implied both civic duty and religious charges.,Not specified,
Council of Rectors,Genoa (podesta),Council (central) ,Second element of government in Genoa after 1194,Equal institution to the podesta,
Podesta,Genoa (podesta),,"Chief Executive

""In the 12th ce., a non-Genoese podesta was hired for a year to serve as a 'military leader, judge, and administrator and who was supported by the soldiers and judges he brought with him...Moreover, because the podesta was to receive a high wage at the end of his successful term, his threat was credible.""

In the 13th century, the podesta becomes a widespread institution among the italian city-states (source: Epstein's chopter on the italian city states in Hansen's collection of 30 city states, p. 284)","Supported by judges and soldiers

'The selection of an incoming podest`a was made by a committee of representatives from the city’s various neighborhoods' (p. 643)",
Doge,Genoa (doge),,"Chief executive, elected",top chief executive,
Council ,Genoa (doge),"Council (central) ,Temporary position of power/Term Limits,Frequent and/or regular meetings","Council of eight magistrates who served for terms of four months. These magistrates met almost daily and made all important decisions, in addition to nominating key administrative officials.",participate in the Magnum Concilium,
Protectors of San Giorgio,Genoa (doge),,"Members of the casa di San Giorgio, a compera (financial institution that involved a loan by private individuals to the state in exchange for the right to future revenues from a specific tax). Chosen by cooptation",participate in council meetings,
Magnum Concilium ,Genoa (doge),"Assembly (central),Magistrate/official","Assembly. Included the magistrates in addition to between 300 and 400 citizens. This was apparently not a regular institution, nor did it have regular procedures determining who would participate in its deliberations.",Includes the members of the Council,
Council of State,Hausa City-States,Council (central) ,"Council of senior titled offices. These Included: Kaura (senior military commander, equivalent to the king’s prime minister), and Galadima (king’s deputy in relations with the noble lineages).",advises the king,
Sarki,Hausa City-States,,King,advised by the council,
Aristocratic Offices,Hausa City-States,,"Other titled offices not part of the council. Occupied by men and women. Heredity and patronage.

Yerima (crown prince, not primogeniture based, but filled on the basis of ruler’s choice ratified by the members of the state council), Magajiya (queen’s mother, never the biological mother of the king, but senior member of the dynastic lineages), Limamin Juma’a (Islamic officer), Alkali (chief judge, pledging his loyalty to the sharia), Dan Sanwai (chief among ruler’s scribes)","depend on the king through allegiance and loyalty, as well as heredity",
Commoners' Offices,Hausa City-States,,Administrative functions. positions bought through the use of cowrie shells,depend on the king through patronage,
Slave offices,Hausa City-States,,"Also involved in admin functions, as well as city defense",depend on the king through patronage,
Village chief,Hmong villages,,"Despite having little real power apart from dispute resolution, chiefs were generally admired and considered learned, especially since they could speak several languages/dialects. After the death of a chief, a new one was chosen after informal deliberation and discussion amongst villagers. 

Chiefs often initiated the migration of a village and made a “political judgement about how much distance a community should put between itself and the state.” (pg. 317) because shifting cultivation meant that they were less likely to be state subjects. The village respected the chief's decision not because they were coerced into doing so but because they had a ""genuine admiration"" for his judgement. ",Head of the village. His authority rests on capacities and merit,
Village shaman ,Hmong villages,,"“a prominent woman or man, often a shaman, would have a dream telling her to move to a new place” which led to the formation of daughter villages, frequently led by the dreamer (Scott, pg. 490)
Shamans would also interpret the dreams of other people since they were believed to have a connection to the spiritual world and it was frequently upon their advice that dreamers decided to form new villages. ",Another figure of authority in the village,
Village gatherings,Hmong villages,Assembly (central),"These are not formal assemblies but gatherings of the village to make important decisions, including migrating.

Before moving to a new village, the male heads of all the families in the village assembled at the dwelling of the headman or the dreamer. The decision to migrate with the village (at the behest of the village chief) or break away from the village (following the shaman/prominent person who had a dream/supernatural indication) depended on the personal respect and trust a family had in the figure of authority suggesting it. In these informal assemblies, each family declared its position. Those families who would migrate then stayed on to discuss the logistics of the move. ",Gatherings at the house of the chief of shaman,
Captain,Huron,,"Village chief. 

""These Captains do not govern their subjects by means of command and absolute power; they have no force at hand to compel them to their duty. Their government is only civil; they represent only what is to be done for the good of the village"" Jesuit relations p. 230",Not specified,
Village council,Huron,Council (local),"The village council. 

'responsible for organizing the provision of public goods, such as the maintenance of the protective palisade for the inhabitants. It also organized redistribution of food in time of need and adjudicated legal disputes between members of different clans.' (Stasavage, p. 39)",Below the tribal and confederacy councils,
Tribal chief,Huron,,"'The tribal chief, though nominally in charge, had little coercive power and no real subordinates to use for this purpose, and individual clan chiefs retained a high degree of independence.' (Stasavage, p. 39)
",Highly independent position. No real subordinates,
Tribe council,Huron,Council (local),"Composed of the tribal chief and clan chiefs


","Tribal chief in charge
",
Confederacy council,Huron,"Council (central) ,Consensus","'central authority was weak, and consensual decision making was the rule. Each tribe had the right to abide or not abide by a confederacy decision' (Stasavage, p. 39)

'those at the center had no independent means of coercion at their disposal' (p. 39)

take place on a need basis",Not specified,
Gobi,Iceland ,,"Chieftain, (pl. Gobar) presides over the Thing in a panel of 3 and with 36 judges; also select judges.

Each local Thing was presided over by 3 chieftains (gobi, pl. gobar) and the panel of 36 judges selected by the gobar. (p.17)
Chieftains (gobi, pl. gobar): hallowed the assembly grounds and selected the judges who heard the cases tried at Things. (p.17)
The law required a person with property sufficient to qualify as a householder (bondi, pI. brendr) to attach himself to a chieftain for purposes of Thing attendance (p.22)
A bondi could transfer his allegiance from one chieftain to another simply by making an announcement of his intention at the Thing, and a chieftain could likewise terminate the bond. (p.23)
",Presides over the local Thing,
Thing,Iceland ,"Assembly (local),Frequent and/or regular meetings","Local Assembly, meets every spring, handles lawsuits and administration

Met every spring at varjJing, ""springThing"", at which lawsuits were heard and administration matters were handled. (p.17)",Local version of the Allthing,
Allthing,Iceland ,"Assembly (central),Frequent and/or regular meetings","Central Assembly, meets annually for 2 weeks, open to all free men

Met annually for 2 weeks at midsummer at Thingvellir in the southwest of the country 

Each of the 36 chieftains holding what was designated an “ancient and full"" chieftaincy was to name one judge to the panel. (p.17)",Main legislative and judicial institution,
Quarter court,Iceland ,"Tribunal/Court ,Supermajority","Court of first instance for litigants belonging to different local Things. One per quarter. 

The 4 Quarter Courts met together at the Allthing. (p.17)
Provided the forum for those cases in which no judgment could be reached at the local Thing. (p.17) They served as courts of first instance for cases between litigants who were attached to different local Things. The appropriate venue in such cases was the defendant's Quarter court. (p.17)
Presided over by the panel of 36 judges selected by the gobar (chieftains) (p.17)
Concurrence of at least 31 judges out of a panel of 36 judges. (p.18)
",Judicial arm of the Allthing,
Fifth Court,Iceland ,"Tribunal/Court ,Majority voting,Appeal","Court of appeal for cases ending in a divided judgment in the Quarter courts.

Had original jurisdiction for cases involving harboring of outlaws, runaway slaves and churchpriests, as well as perjury and offers of bribes that occurred at the Allthing. (p.18)
Established: c. 1005 (p.17)
Judgment could be had by simple majority. (p.18) 
Panel of 48 judges, one chosen by each chieftain whether he held an “ancient and full"" chieftaincy or a ""new"" chieftaincy established at the time of the division into quarters. (p.18)
“New” chieftains: 3 per South, East and West Quarter that were created to equalize the representation of these Quarters with the North Quarter (whose people had insisted on having four local Things and hence three more chieftains than the other Quarters). (p.18)
Judgment was still to be given by 36 judges, it being the responsibility of the litigants to dismiss 12 judges, 6 by each party, prior to judgment. (p.18)
",Appeal court for quarter court,
